State,District,Year,Season,Crop,Area_ha,Production_q,Yield_q_per_ha
Gujarat,Sabarkantha,2016,Kharif,Bajra,6758,99342,14.7
Gujarat,Sabarkantha,2016,Kharif,Soybean,14616,309859,21.2
Gujarat,Sabarkantha,2017,Kharif,Groundnut,7969,188068,23.6
Gujarat,Sabarkantha,2017,Kharif,Maize,3117,91328,29.3
Gujarat,Sabarkantha,2017,Rabi,Wheat,16568,639524,38.6
Gujarat,Sabarkantha,2017,Kharif,Rice,21854,778002,35.6
Gujarat,Sabarkantha,2017,Rabi,Jowar,15292,198796,13.0
Gujarat,Sabarkantha,2017,Rabi,Chickpea,16850,301615,17.9
Gujarat,Sabarkantha,2017,Kharif,Bajra,5860,89072,15.2
Gujarat,Sabarkantha,2017,Kharif,Soybean,18858,390360,20.7
Gujarat,Sabarkantha,2018,Kharif,Groundnut,8105,171015,21.1
Gujarat,Sabarkantha,2018,Rabi,Maize,17969,553445,30.8
Gujarat,Sabarkantha,2018,Rabi,Wheat,17218,750704,43.6
Gujarat,Sabarkantha,2018,Rabi,Rice,17974,562586,31.3
Gujarat,Sabarkantha,2018,Rabi,Jowar,19803,287143,14.5
Gujarat,Sabarkantha,2018,Rabi,Chickpea,16989,244641,14.4
Gujarat,Sabarkantha,2018,Kharif,Bajra,11689,158970,13.6
Gujarat,Sabarkantha,2018,Kharif,Soybean,12060,262908,21.8
Gujarat,Sabarkantha,2019,Kharif,Groundnut,4718,102380,21.7
Gujarat,Sabarkantha,2019,Kharif,Maize,18741,584719,31.2
Gujarat,Sabarkantha,2019,Rabi,Wheat,13269,509529,38.4
Gujarat,Sabarkantha,2019,Kharif,Rice,17597,571902,32.5
Gujarat,Sabarkantha,2019,Kharif,Jowar,19385,275267,14.2
Gujarat,Sabarkantha,2019,Rabi,Chickpea,13883,238787,17.2
Gujarat,Sabarkantha,2019,Kharif,Bajra,19395,304501,15.7
Gujarat,Sabarkantha,2019,Kharif,Soybean,5281,102451,19.4
Gujarat,Sabarkantha,2020,Kharif,Groundnut,9414,213697,22.7
Gujarat,Sabarkantha,2020,Kharif,Maize,15894,513376,32.3
Gujarat,Sabarkantha,2020,Rabi,Wheat,19135,761573,39.8
Gujarat,Sabarkantha,2020,Rabi,Rice,23096,787573,34.1
Gujarat,Sabarkantha,2020,Rabi,Jowar,17335,265225,15.3
Gujarat,Sabarkantha,2020,Rabi,Chickpea,11830,172718,14.6
Gujarat,Sabarkantha,2020,Kharif,Bajra,12210,164835,13.5
Gujarat,Sabarkantha,2020,Kharif,Soybean,4189,92158,22.0
Gujarat,Sabarkantha,2021,Kharif,Groundnut,6597,153710,23.3
Gujarat,Sabarkantha,2021,Kharif,Maize,7251,231306,31.9
Gujarat,Sabarkantha,2021,Rabi,Wheat,11224,459061,40.9
Gujarat,Sabarkantha,2021,Rabi,Rice,12336,420657,34.1
Gujarat,Sabarkantha,2021,Kharif,Jowar,4311,65096,15.1
Gujarat,Sabarkantha,2021,Rabi,Chickpea,11051,196707,17.8
Gujarat,Sabarkantha,2021,Kharif,Bajra,6045,99137,16.4
Gujarat,Sabarkantha,2021,Kharif,Soybean,6666,123987,18.6
Gujarat,Sabarkantha,2022,Kharif,Groundnut,2352,55036,23.4
Gujarat,Sabarkantha,2022,Kharif,Maize,19178,617531,32.2
Gujarat,Sabarkantha,2022,Rabi,Wheat,21437,958233,44.7
Gujarat,Sabarkantha,2022,Kharif,Rice,15791,573213,36.3
Gujarat,Sabarkantha,2022,Kharif,Jowar,16888,238120,14.1
Gujarat,Sabarkantha,2022,Rabi,Chickpea,13186,189878,14.4
Gujarat,Sabarkantha,2022,Kharif,Bajra,3342,55477,16.6
Gujarat,Sabarkantha,2022,Kharif,Soybean,10370,223992,21.6
Gujarat,Patan,2015,Rabi,Chickpea,4902,78922,16.1
Gujarat,Patan,2015,Rabi,Potato,17204,3549185,206.3
Gujarat,Patan,2015,Rabi,Mustard,5446,74610,13.7
Gujarat,Patan,2015,Kharif,Soybean,11039,238442,21.6
Gujarat,Patan,2015,Annual,Sugarcane,16775,1387292,82.7
Gujarat,Patan,2015,Rabi,Maize,10232,340725,33.3
Gujarat,Patan,2015,Kharif,Bajra,5313,71725,13.5
Gujarat,Patan,2015,Kharif,Pigeonpea,18219,238668,13.1
Gujarat,Patan,2016,Rabi,Chickpea,10708,174540,16.3
Gujarat,Patan,2016,Rabi,Potato,16986,4183651,246.3
Gujarat,Patan,2016,Rabi,Mustard,14536,209318,14.4
Gujarat,Patan,2016,Kharif,Soybean,5230,107215,20.5
Gujarat,Patan,2016,Kharif,Sugarcane,13818,997659,72.2
Gujarat,Patan,2016,Rabi,Maize,15822,515797,32.6
Gujarat,Patan,2016,Kharif,Bajra,3306,52234,15.8
Gujarat,Patan,2016,Kharif,Pigeonpea,16425,238162,14.5
Gujarat,Patan,2017,Rabi,Chickpea,19129,311802,16.3
Gujarat,Patan,2017,Rabi,Potato,15149,3684236,243.2
Gujarat,Patan,2017,Rabi,Mustard,7922,102986,13.0
Gujarat,Patan,2017,Kharif,Soybean,12779,263247,20.6
Gujarat,Patan,2017,Rabi,Sugarcane,19505,1482380,76.0
Gujarat,Patan,2017,Kharif,Maize,10307,348376,33.8
Gujarat,Patan,2017,Kharif,Bajra,13273,213695,16.1
Gujarat,Patan,2017,Kharif,Pigeonpea,10149,158324,15.6
Gujarat,Patan,2018,Rabi,Chickpea,3566,56342,15.8
Gujarat,Patan,2018,Rabi,Potato,9623,2095889,217.8
Gujarat,Patan,2018,Rabi,Mustard,19933,259129,13.0
Gujarat,Patan,2018,Kharif,Soybean,13420,284504,21.2
Gujarat,Patan,2018,Rabi,Sugarcane,8912,771779,86.6
Gujarat,Patan,2018,Rabi,Maize,19636,606752,30.9
Gujarat,Patan,2018,Kharif,Bajra,12021,171900,14.3
Gujarat,Patan,2018,Kharif,Pigeonpea,4963,76430,15.4
Gujarat,Patan,2019,Rabi,Chickpea,18292,279867,15.3
Gujarat,Patan,2019,Rabi,Potato,7624,1780204,233.5
Gujarat,Patan,2019,Rabi,Mustard,17906,272171,15.2
Gujarat,Patan,2019,Kharif,Soybean,16344,313804,19.2
Gujarat,Patan,2019,Annual,Sugarcane,11522,978217,84.9
Gujarat,Patan,2019,Rabi,Maize,8219,232597,28.3
Gujarat,Patan,2019,Kharif,Bajra,11706,193149,16.5
Gujarat,Patan,2019,Kharif,Pigeonpea,4488,61485,13.7
Gujarat,Patan,2020,Rabi,Chickpea,15259,219729,14.4
Gujarat,Patan,2020,Rabi,Potato,12146,2444989,201.3
Gujarat,Patan,2020,Rabi,Mustard,14623,200335,13.7
Gujarat,Patan,2020,Kharif,Soybean,11630,252371,21.7
Gujarat,Patan,2020,Kharif,Sugarcane,8693,706740,81.3
Gujarat,Patan,2020,Rabi,Maize,16501,590735,35.8
Gujarat,Patan,2020,Kharif,Bajra,7079,99813,14.1
Gujarat,Patan,2020,Kharif,Pigeonpea,9355,116002,12.4
Gujarat,Patan,2021,Rabi,Chickpea,9400,141000,15.0
Gujarat,Patan,2021,Rabi,Potato,8076,1839712,227.8
Gujarat,Patan,2021,Rabi,Mustard,9984,123801,12.4
Gujarat,Patan,2021,Kharif,Soybean,17835,387019,21.7
Gujarat,Patan,2021,Annual,Sugarcane,12299,964241,78.4
Gujarat,Patan,2021,Rabi,Maize,18992,562163,29.6
Gujarat,Patan,2021,Kharif,Bajra,14684,227602,15.5
Gujarat,Patan,2021,Kharif,Pigeonpea,13926,204712,14.7
Gujarat,Patan,2022,Rabi,Chickpea,13944,218920,15.7
Gujarat,Patan,2022,Rabi,Potato,12700,2673350,210.5
Gujarat,Patan,2022,Rabi,Mustard,6407,99308,15.5
Gujarat,Patan,2022,Kharif,Soybean,10090,218953,21.7
Gujarat,Patan,2022,Kharif,Sugarcane,9166,747029,81.5
Gujarat,Patan,2022,Rabi,Maize,5434,175518,32.3
Gujarat,Patan,2022,Kharif,Bajra,9338,147540,15.8
Gujarat,Patan,2022,Kharif,Pigeonpea,3743,49407,13.2
Haryana,Karnal,2015,Kharif,Ragi,3885,71095,18.3
Haryana,Karnal,2015,Annual,Sugarcane,10845,863261,79.6
Haryana,Karnal,2015,Rabi,Mustard,4143,60487,14.6
Haryana,Karnal,2015,Kharif,Bajra,2903,44415,15.3
Haryana,Karnal,2015,Rabi,Jowar,6369,87892,13.8
Haryana,Karnal,2015,Kharif,Soybean,16814,312740,18.6
Haryana,Karnal,2015,Rabi,Wheat,15983,725628,45.4
Haryana,Karnal,2015,Rabi,Maize,18644,557455,29.9
Haryana,Karnal,2016,Kharif,Ragi,19682,324753,16.5
Haryana,Karnal,2016,Kharif,Sugarcane,6222,508337,81.7
Haryana,Karnal,2016,Rabi,Mustard,13742,202007,14.7
Haryana,Karnal,2016,Kharif,Bajra,4326,69216,16.0
Haryana,Karnal,2016,Kharif,Jowar,7282,102676,14.1
Haryana,Karnal,2016,Kharif,Soybean,7876,148068,18.8
Haryana,Karnal,2016,Rabi,Wheat,22219,886538,39.9
Haryana,Karnal,2016,Kharif,Maize,5085,156109,30.7
Haryana,Karnal,2017,Kharif,Ragi,14695,268918,18.3
Haryana,Karnal,2017,Annual,Sugarcane,21545,1674046,77.7
Haryana,Karnal,2017,Rabi,Mustard,7996,121539,15.2
Haryana,Karnal,2017,Kharif,Bajra,7813,111725,14.3
Haryana,Karnal,2017,Rabi,Jowar,18373,281106,15.3
Haryana,Karnal,2017,Kharif,Soybean,15153,280330,18.5
Haryana,Karnal,2017,Rabi,Wheat,8672,364224,42.0
Haryana,Karnal,2017,Rabi,Maize,5081,160559,31.6
Haryana,Karnal,2018,Kharif,Ragi,3995,63520,15.9
Haryana,Karnal,2018,Kharif,Sugarcane,18227,1303230,71.5
Haryana,Karnal,2018,Rabi,Mustard,19338,249460,12.9
Haryana,Karnal,2018,Kharif,Bajra,14607,192812,13.2
Haryana,Karnal,2018,Rabi,Jowar,14282,177096,12.4
Haryana,Karnal,2018,Kharif,Soybean,8176,181507,22.2
Haryana,Karnal,2018,Rabi,Wheat,13155,547248,41.6
Haryana,Karnal,2018,Rabi,Maize,7068,204265,28.9
Haryana,Karnal,2019,Kharif,Ragi,16440,300852,18.3
Haryana,Karnal,2019,Kharif,Sugarcane,11816,1023265,86.6
Haryana,Karnal,2019,Rabi,Mustard,16585,250433,15.1
Haryana,Karnal,2019,Kharif,Bajra,19615,302071,15.4
Haryana,Karnal,2019,Kharif,Jowar,12212,183180,15.0
Haryana,Karnal,2019,Kharif,Soybean,7911,143189,18.1
Haryana,Karnal,2019,Rabi,Wheat,22307,1099735,49.3
Haryana,Karnal,2019,Kharif,Maize,13055,428203,32.8
Haryana,Karnal,2020,Kharif,Ragi,19956,397124,19.9
Haryana,Karnal,2020,Annual,Sugarcane,9813,839011,85.5
Haryana,Karnal,2020,Rabi,Mustard,13983,188770,13.5
Haryana,Karnal,2020,Kharif,Bajra,18081,254942,14.1
Haryana,Karnal,2020,Kharif,Jowar,3362,50430,15.0
Haryana,Karnal,2020,Kharif,Soybean,17742,317581,17.9
Haryana,Karnal,2020,Rabi,Wheat,8980,438224,48.8
Haryana,Karnal,2020,Rabi,Maize,19430,683936,35.2
Haryana,Karnal,2021,Kharif,Ragi,8584,163954,19.1
Haryana,Karnal,2021,Annual,Sugarcane,20676,1583781,76.6
Haryana,Karnal,2021,Rabi,Mustard,15969,212387,13.3
Haryana,Karnal,2021,Kharif,Bajra,4699,69545,14.8
Haryana,Karnal,2021,Rabi,Jowar,5418,67183,12.4
Haryana,Karnal,2021,Kharif,Soybean,14740,299222,20.3
Haryana,Karnal,2021,Rabi,Wheat,15410,693450,45.0
Haryana,Karnal,2021,Kharif,Maize,3364,108320,32.2
Haryana,Karnal,2022,Kharif,Ragi,12063,240053,19.9
Haryana,Karnal,2022,Kharif,Sugarcane,23786,2017052,84.8
Haryana,Karnal,2022,Rabi,Mustard,3571,51779,14.5
Haryana,Karnal,2022,Kharif,Bajra,11926,159808,13.4
Haryana,Karnal,2022,Rabi,Jowar,19621,255073,13.0
Haryana,Karnal,2022,Kharif,Soybean,16214,350222,21.6
Haryana,Karnal,2022,Rabi,Wheat,7465,336671,45.1
Haryana,Karnal,2022,Kharif,Maize,8085,233656,28.9
Haryana,Hisar,2015,Rabi,Mustard,14500,181250,12.5
Haryana,Hisar,2015,Rabi,Onion,4811,131821,27.4
Haryana,Hisar,2015,Kharif,Groundnut,9877,157044,15.9
Haryana,Hisar,2015,Rabi,Wheat,18776,942555,50.2
Haryana,Hisar,2015,Kharif,Ragi,15171,263975,17.4
Haryana,Hisar,2015,Rabi,Chickpea,10066,147970,14.7
Haryana,Hisar,2015,Rabi,Jowar,15855,242581,15.3
Haryana,Hisar,2015,Rabi,Potato,9933,2030305,204.4
Haryana,Hisar,2016,Rabi,Mustard,15627,228154,14.6
Haryana,Hisar,2016,Kharif,Onion,7209,175178,24.3
Haryana,Hisar,2016,Kharif,Groundnut,2341,39562,16.9
Haryana,Hisar,2016,Rabi,Wheat,20717,830751,40.1
Haryana,Hisar,2016,Kharif,Ragi,9306,174022,18.7
Haryana,Hisar,2016,Rabi,Chickpea,5777,95320,16.5
Haryana,Hisar,2016,Kharif,Jowar,18008,277323,15.4
Haryana,Hisar,2016,Rabi,Potato,11727,2384099,203.3
Haryana,Hisar,2017,Rabi,Mustard,10404,161262,15.5
Haryana,Hisar,2017,Kharif,Onion,10386,246148,23.7
Haryana,Hisar,2017,Kharif,Groundnut,10568,206076,19.5
Haryana,Hisar,2017,Rabi,Wheat,18940,905332,47.8
Haryana,Hisar,2017,Kharif,Ragi,18317,364508,19.9
Haryana,Hisar,2017,Rabi,Chickpea,3169,46267,14.6
Haryana,Hisar,2017,Rabi,Jowar,5650,78535,13.9
Haryana,Hisar,2017,Rabi,Potato,13716,2682849,195.6
Haryana,Hisar,2018,Rabi,Mustard,4208,53020,12.6
Haryana,Hisar,2018,Rabi,Onion,13153,323563,24.6
Haryana,Hisar,2018,Kharif,Groundnut,16484,313196,19.0
Haryana,Hisar,2018,Rabi,Wheat,22502,1053093,46.8
Haryana,Hisar,2018,Kharif,Ragi,12417,238406,19.2
Haryana,Hisar,2018,Rabi,Chickpea,7004,114165,16.3
Haryana,Hisar,2018,Rabi,Jowar,10218,155313,15.2
Haryana,Hisar,2018,Rabi,Potato,7574,1606445,212.1
Haryana,Hisar,2019,Rabi,Mustard,7016,95417,13.6
Haryana,Hisar,2019,Kharif,Onion,8380,209500,25.0
Haryana,Hisar,2019,Kharif,Groundnut,13006,240611,18.5
Haryana,Hisar,2019,Rabi,Wheat,20435,815356,39.9
Haryana,Hisar,2019,Kharif,Ragi,19319,376720,19.5
Haryana,Hisar,2019,Rabi,Chickpea,6697,108491,16.2
Haryana,Hisar,2019,Rabi,Jowar,4134,51675,12.5
Haryana,Hisar,2019,Rabi,Potato,1572,347412,221.0
Haryana,Hisar,2020,Rabi,Mustard,12540,185592,14.8
Haryana,Hisar,2020,Kharif,Onion,4401,97702,22.2
Haryana,Hisar,2020,Kharif,Groundnut,2112,33580,15.9
Haryana,Hisar,2020,Rabi,Wheat,9920,480128,48.4
Haryana,Hisar,2020,Kharif,Ragi,3153,60222,19.1
Haryana,Hisar,2020,Rabi,Chickpea,17611,250076,14.2
Haryana,Hisar,2020,Rabi,Jowar,14673,195150,13.3
Haryana,Hisar,2020,Rabi,Potato,8787,2123817,241.7
Haryana,Hisar,2021,Rabi,Mustard,13309,191649,14.4
Haryana,Hisar,2021,Kharif,Onion,6018,149848,24.9
Haryana,Hisar,2021,Kharif,Groundnut,13800,251160,18.2
Haryana,Hisar,2021,Rabi,Wheat,11713,482575,41.2
Haryana,Hisar,2021,Kharif,Ragi,7253,146510,20.2
Haryana,Hisar,2021,Rabi,Chickpea,16147,272884,16.9
Haryana,Hisar,2021,Rabi,Jowar,17071,218508,12.8
Haryana,Hisar,2021,Rabi,Potato,18743,4331507,231.1
Haryana,Hisar,2022,Rabi,Mustard,6096,95097,15.6
Haryana,Hisar,2022,Kharif,Onion,14297,331690,23.2
Haryana,Hisar,2022,Kharif,Groundnut,17092,336712,19.7
Haryana,Hisar,2022,Rabi,Wheat,18728,831523,44.4
Haryana,Hisar,2022,Kharif,Ragi,12682,220666,17.4
Haryana,Hisar,2022,Rabi,Chickpea,19364,282714,14.6
Haryana,Hisar,2022,Kharif,Jowar,8257,108166,13.1
Haryana,Hisar,2022,Rabi,Potato,12908,3145679,243.7
Haryana,Sirsa,2015,Kharif,Ragi,5560,91740,16.5
Haryana,Sirsa,2015,Kharif,Cotton,19504,370576,19.0
Haryana,Sirsa,2015,Kharif,Bajra,13065,181603,13.9
Haryana,Sirsa,2015,Summer,Tomato,13592,327567,24.1
Haryana,Sirsa,2015,Kharif,Soybean,16515,305527,18.5
Haryana,Sirsa,2015,Kharif,Groundnut,14647,275363,18.8
Haryana,Sirsa,2015,Kharif,Pigeonpea,7107,93812,13.2
Haryana,Sirsa,2015,Rabi,Chickpea,8481,138240,16.3
Haryana,Sirsa,2016,Kharif,Ragi,17354,305430,17.6
Haryana,Sirsa,2016,Kharif,Cotton,10278,224060,21.8
Haryana,Sirsa,2016,Kharif,Bajra,19386,277219,14.3
Haryana,Sirsa,2016,Summer,Tomato,2156,48941,22.7
Haryana,Sirsa,2016,Kharif,Soybean,4809,102912,21.4
Haryana,Sirsa,2016,Kharif,Groundnut,3728,59275,15.9
Haryana,Sirsa,2016,Kharif,Pigeonpea,12266,186443,15.2
Haryana,Sirsa,2016,Rabi,Chickpea,6934,103316,14.9
Haryana,Sirsa,2017,Kharif,Ragi,4163,71603,17.2
Haryana,Sirsa,2017,Kharif,Cotton,16338,336562,20.6
Haryana,Sirsa,2017,Kharif,Bajra,7741,115340,14.9
Haryana,Sirsa,2017,Kharif,Tomato,6236,130956,21.0
Haryana,Sirsa,2017,Kharif,Soybean,5881,108210,18.4
Haryana,Sirsa,2017,Kharif,Groundnut,17386,286869,16.5
Haryana,Sirsa,2017,Kharif,Pigeonpea,10172,148511,14.6
Haryana,Sirsa,2017,Rabi,Chickpea,6805,112963,16.6
Haryana,Sirsa,2018,Kharif,Ragi,3290,53627,16.3
Haryana,Sirsa,2018,Kharif,Cotton,21493,468547,21.8
Haryana,Sirsa,2018,Kharif,Bajra,2653,39529,14.9
Haryana,Sirsa,2018,Summer,Tomato,12874,296102,23.0
Haryana,Sirsa,2018,Kharif,Soybean,7958,162343,20.4
Haryana,Sirsa,2018,Kharif,Groundnut,18114,356845,19.7
Haryana,Sirsa,2018,Kharif,Pigeonpea,4785,73210,15.3
Haryana,Sirsa,2018,Rabi,Chickpea,6421,91820,14.3
Haryana,Sirsa,2019,Kharif,Ragi,6898,129682,18.8
Haryana,Sirsa,2019,Kharif,Cotton,12459,279081,22.4
Haryana,Sirsa,2019,Kharif,Bajra,4722,67524,14.3
Haryana,Sirsa,2019,Kharif,Tomato,17211,387247,22.5
Haryana,Sirsa,2019,Kharif,Soybean,15688,323172,20.6
Haryana,Sirsa,2019,Kharif,Groundnut,10280,178871,17.4
Haryana,Sirsa,2019,Kharif,Pigeonpea,19053,266742,14.0
Haryana,Sirsa,2019,Rabi,Chickpea,7468,119488,16.0
Haryana,Sirsa,2020,Kharif,Ragi,12047,224074,18.6
Haryana,Sirsa,2020,Kharif,Cotton,20186,399682,19.8
Haryana,Sirsa,2020,Kharif,Bajra,17010,226233,13.3
Haryana,Sirsa,2020,Summer,Tomato,2028,40154,19.8
Haryana,Sirsa,2020,Kharif,Soybean,2349,51208,21.8
Haryana,Sirsa,2020,Kharif,Groundnut,8541,146051,17.1
Haryana,Sirsa,2020,Kharif,Pigeonpea,3179,43234,13.6
Haryana,Sirsa,2020,Rabi,Chickpea,12998,218366,16.8
Haryana,Sirsa,2021,Kharif,Ragi,15910,307063,19.3
Haryana,Sirsa,2021,Kharif,Cotton,10336,217056,21.0
Haryana,Sirsa,2021,Kharif,Bajra,8321,131471,15.8
Haryana,Sirsa,2021,Kharif,Tomato,3729,77563,20.8
Haryana,Sirsa,2021,Kharif,Soybean,4778,105116,22.0
Haryana,Sirsa,2021,Kharif,Groundnut,5719,112092,19.6
Haryana,Sirsa,2021,Kharif,Pigeonpea,5507,82605,15.0
Haryana,Sirsa,2021,Rabi,Chickpea,14235,204984,14.4
Haryana,Sirsa,2022,Kharif,Ragi,9764,161106,16.5
Haryana,Sirsa,2022,Kharif,Cotton,6316,137057,21.7
Haryana,Sirsa,2022,Kharif,Bajra,13178,209530,15.9
Haryana,Sirsa,2022,Summer,Tomato,16098,317130,19.7
Haryana,Sirsa,2022,Kharif,Soybean,5467,116993,21.4
Haryana,Sirsa,2022,Kharif,Groundnut,6545,105374,16.1
Haryana,Sirsa,2022,Kharif,Pigeonpea,4659,71748,15.4
Haryana,Sirsa,2022,Rabi,Chickpea,5001,72014,14.4
Haryana,Sonipat,2015,Rabi,Rice,23345,803068,34.4
Haryana,Sonipat,2015,Kharif,Soybean,8465,168453,19.9
Haryana,Sonipat,2015,Summer,Tomato,7096,174561,24.6
Haryana,Sonipat,2015,Rabi,Potato,3007,627861,208.8
Haryana,Sonipat,2015,Rabi,Chickpea,2206,32648,14.8
Haryana,Sonipat,2015,Rabi,Onion,7478,172741,23.1
Haryana,Sonipat,2015,Rabi,Jowar,19760,252928,12.8
Haryana,Sonipat,2015,Rabi,Wheat,8483,400397,47.2
Haryana,Sonipat,2016,Kharif,Rice,16531,550482,33.3
Haryana,Sonipat,2016,Kharif,Soybean,11722,215684,18.4
Haryana,Sonipat,2016,Summer,Tomato,10352,222568,21.5
Haryana,Sonipat,2016,Rabi,Potato,12297,2657381,216.1
Haryana,Sonipat,2016,Rabi,Chickpea,10246,164960,16.1
Haryana,Sonipat,2016,Kharif,Onion,3118,82627,26.5
Haryana,Sonipat,2016,Kharif,Jowar,13279,165987,12.5
Haryana,Sonipat,2016,Rabi,Wheat,20093,930305,46.3
Haryana,Sonipat,2017,Kharif,Rice,20612,772950,37.5
Haryana,Sonipat,2017,Kharif,Soybean,4891,109069,22.3
Haryana,Sonipat,2017,Kharif,Tomato,12844,288990,22.5
Haryana,Sonipat,2017,Rabi,Potato,11455,2562483,223.7
Haryana,Sonipat,2017,Rabi,Chickpea,17743,275016,15.5
Haryana,Sonipat,2017,Kharif,Onion,17026,425650,25.0
Haryana,Sonipat,2017,Rabi,Jowar,8235,116937,14.2
Haryana,Sonipat,2017,Rabi,Wheat,7399,339614,45.9
Haryana,Sonipat,2018,Rabi,Rice,21127,743670,35.2
Haryana,Sonipat,2018,Kharif,Soybean,15213,334686,22.0
Haryana,Sonipat,2018,Kharif,Tomato,16217,387586,23.9
Haryana,Sonipat,2018,Rabi,Potato,13634,2749977,201.7
Haryana,Sonipat,2018,Rabi,Chickpea,6568,116253,17.7
Haryana,Sonipat,2018,Kharif,Onion,5895,143248,24.3
Haryana,Sonipat,2018,Rabi,Jowar,16233,219145,13.5
Haryana,Sonipat,2018,Rabi,Wheat,12026,495471,41.2
Haryana,Sonipat,2019,Kharif,Rice,18821,611682,32.5
Haryana,Sonipat,2019,Kharif,Soybean,13053,238869,18.3
Haryana,Sonipat,2019,Rabi,Tomato,13852,270114,19.5
Haryana,Sonipat,2019,Rabi,Potato,19000,3982400,209.6
Haryana,Sonipat,2019,Rabi,Chickpea,17942,269130,15.0
Haryana,Sonipat,2019,Kharif,Onion,6237,153430,24.6
Haryana,Sonipat,2019,Rabi,Jowar,3958,61744,15.6
Haryana,Sonipat,2019,Rabi,Wheat,8192,409600,50.0
Haryana,Sonipat,2020,Rabi,Rice,15480,585144,37.8
Haryana,Sonipat,2020,Kharif,Soybean,18194,340227,18.7
Haryana,Sonipat,2020,Rabi,Tomato,1424,30758,21.6
Haryana,Sonipat,2020,Rabi,Potato,12094,2744128,226.9
Haryana,Sonipat,2020,Rabi,Chickpea,16057,268151,16.7
Haryana,Sonipat,2020,Rabi,Onion,18355,469888,25.6
Haryana,Sonipat,2020,Rabi,Jowar,14234,192159,13.5
Haryana,Sonipat,2020,Rabi,Wheat,21516,938097,43.6
Haryana,Sonipat,2021,Kharif,Rice,18124,576343,31.8
Haryana,Sonipat,2021,Kharif,Soybean,12688,238534,18.8
Haryana,Sonipat,2021,Summer,Tomato,11241,231564,20.6
Haryana,Sonipat,2021,Rabi,Potato,12165,2859991,235.1
Haryana,Sonipat,2021,Rabi,Chickpea,6165,103572,16.8
Haryana,Sonipat,2021,Kharif,Onion,8501,226976,26.7
Haryana,Sonipat,2021,Kharif,Jowar,10162,153446,15.1
Haryana,Sonipat,2021,Rabi,Wheat,6635,303219,45.7
Haryana,Sonipat,2022,Rabi,Rice,9132,329665,36.1
Haryana,Sonipat,2022,Kharif,Soybean,12539,265826,21.2
Haryana,Sonipat,2022,Rabi,Tomato,16161,358774,22.2
Haryana,Sonipat,2022,Rabi,Potato,13765,2713081,197.1
Haryana,Sonipat,2022,Rabi,Chickpea,11050,188955,17.1
Haryana,Sonipat,2022,Rabi,Onion,2934,71002,24.2
Haryana,Sonipat,2022,Rabi,Jowar,2100,27510,13.1
Haryana,Sonipat,2022,Rabi,Wheat,21812,946640,43.4
Haryana,Kurukshetra,2015,Kharif,Pigeonpea,8166,123306,15.1
Haryana,Kurukshetra,2015,Summer,Tomato,10686,241503,22.6
Haryana,Kurukshetra,2015,Kharif,Jowar,8387,124127,14.8
Haryana,Kurukshetra,2015,Kharif,Groundnut,14321,242024,16.9
Haryana,Kurukshetra,2015,Rabi,Mustard,2357,34647,14.7
Haryana,Kurukshetra,2015,Kharif,Ragi,6720,114240,17.0
Haryana,Kurukshetra,2015,Annual,Sugarcane,19809,1404458,70.9
Haryana,Kurukshetra,2015,Kharif,Cotton,10837,210237,19.4
Haryana,Kurukshetra,2016,Kharif,Pigeonpea,7143,102859,14.4
Haryana,Kurukshetra,2016,Summer,Tomato,11292,245036,21.7
Haryana,Kurukshetra,2016,Kharif,Jowar,16940,262570,15.5
Haryana,Kurukshetra,2016,Kharif,Groundnut,16854,281461,16.7
Haryana,Kurukshetra,2016,Rabi,Mustard,6211,80121,12.9
Haryana,Kurukshetra,2016,Kharif,Ragi,6060,121200,20.0
Haryana,Kurukshetra,2016,Rabi,Sugarcane,21633,1884234,87.1
Haryana,Kurukshetra,2016,Kharif,Cotton,18288,334670,18.3
Haryana,Kurukshetra,2017,Kharif,Pigeonpea,12613,181627,14.4
Haryana,Kurukshetra,2017,Kharif,Tomato,2131,43259,20.3
Haryana,Kurukshetra,2017,Rabi,Jowar,3290,44086,13.4
Haryana,Kurukshetra,2017,Kharif,Groundnut,6321,120099,19.0
Haryana,Kurukshetra,2017,Rabi,Mustard,4224,52800,12.5
Haryana,Kurukshetra,2017,Kharif,Ragi,19130,315645,16.5
Haryana,Kurukshetra,2017,Rabi,Sugarcane,13700,1212450,88.5
Haryana,Kurukshetra,2017,Kharif,Cotton,17700,375240,21.2
Haryana,Kurukshetra,2018,Kharif,Pigeonpea,13258,167050,12.6
Haryana,Kurukshetra,2018,Rabi,Tomato,18862,414964,22.0
Haryana,Kurukshetra,2018,Kharif,Jowar,14975,211147,14.1
Haryana,Kurukshetra,2018,Kharif,Groundnut,4931,89744,18.2
Haryana,Kurukshetra,2018,Rabi,Mustard,5776,79708,13.8
Haryana,Kurukshetra,2018,Kharif,Ragi,3851,64696,16.8
Haryana,Kurukshetra,2018,Kharif,Sugarcane,6793,567215,83.5
Haryana,Kurukshetra,2018,Kharif,Cotton,13389,277152,20.7
Haryana,Kurukshetra,2019,Kharif,Pigeonpea,9176,114700,12.5
Haryana,Kurukshetra,2019,Rabi,Tomato,5511,134468,24.4
Haryana,Kurukshetra,2019,Rabi,Jowar,14969,200584,13.4
Haryana,Kurukshetra,2019,Kharif,Groundnut,11490,206820,18.0
